STATEFP,Deaths,Population
01,130,83992436
02,0,12361580
04,876,109148430
05,160,51117937
06,712,657416771
08,42,87509259
09,14,63429895
10,15,15640370
11,15,10828119
12,285,328334891
13,166,167063038
15,18,23815715
16,23,26805064
17,269,228380710
18,97,114662022
19,46,54246275
20,114,50386699
21,93,76515344
22,171,81497430
23,10,23679343
24,145,102114446
25,28,117417917
26,81,179183694
27,57,93861342
28,148,52679316
29,330,105633794
30,14,17390072
31,36,32353793
32,209,45309193
33,10,23376257
34,105,156723850
35,55,35577733
36,272,347701337
37,158,163900963
38,0,12156945
39,149,206876274
40,201,65953258
41,39,67107832
42,183,226130679
44,10,19032220
45,136,80182715
46,22,14407588
47,171,110926076
48,858,433499543
49,19,47096459
50,0,11179230
51,145,139830305
53,70,117289596
54,11,32964738
55,94,100757056
56,0,9716887
